#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
9.3%	4630000	-930562.4446751499	300.1444113303685	474
9.3%	4640000	-930922.3626699303	300.5907928343663	474
9.3%	4650000	-931121.8079993636	300.3932195756874	474
9.3%	4660000	-929761.7864761269	299.86457287843194	474
9.3%	4670000	-929265.7559802779	301.98808171430613	474
9.4%	4680000	-929797.2949631484	300.3017651342007	474
9.4%	4690000	-929660.1963913171	300.44191838828993	474
9.4%	4700000	-929616.1872133738	299.1342286533498	474
9.4%	4710000	-929784.511194346	299.33737544050365	474
9.4%	4720000	-932136.4651483572	299.78498503133545	474
9.5%	4730000	-930824.214928471	301.5425077386413	474
9.5%	4740000	-930260.3224920565	300.3010088892521	474
9.5%	4750000	-930497.6104457588	300.93090850260916	474
9.5%	4760000	-928977.2004665947	300.39396526327675	474
9.5%	4770000	-931664.6935990867	300.22338706596184	474
9.6%	4780000	-931340.6131743118	298.9464255429115	474
9.6%	4790000	-930201.8723770087	301.2768137306519	474
9.6%	4800000	-930196.9915593294	300.32039281234194	474
9.6%	4810000	-930852.9382115509	298.5106250955666	474
9.6%	4820000	-930404.976258792	299.70423816968764	474
9.7%	4830000	-928710.6913904767	301.7211559907892	474
9.7%	4840000	-929421.8615748528	300.5388314135351	474
9.7%	4850000	-931296.0802989281	299.1988721179652	474
9.7%	4860000	-931918.443559167	300.1116293905417	474
9.7%	4870000	-929982.2962786355	301.65874651873577	474
9.8%	4880000	-928831.2088552793	302.47521610637705	474
9.8%	4890000	-929595.4275490888	299.1971892350552	474
9.8%	4900000	-930654.2215114711	300.78769986513817	474
9.8%	4910000	-929245.5340884011	299.204083828938	474
